commit_msg,labels
"[CODEGEN] Add LoweredFunc, MakeAPI to build a C API function (#23)* [CODEGEN] Add LoweredFunc, MakeAPI and SplitHostDevice* update halideir",1
"[RUNTIME] Add Function, Unify TVMTypeCode and TVMArgTypeID (#24)",1
"[API/JIT] Enable registerable global function, introduce StackVM intepreter (#25)",5
[API/Refactor] Unified PackedFunc for API and Generated Functions (#26),5
"[CODEGEN/EXEC] CUDA, NVRTC pipeline complete (#27)* [CODEGEN] CUDA/OPENCL pipeline complete* Hide TVMType by str in frontend",5
"[TEST/PYTHON] Add unittest folder, add a build pipeline. Rename Buffer.ptr to Buffer.data to be consistent with Array. (#29)",1
"[SCHEDULE] Improve bound inference, support reduce codegen. (#30)",5
"[PASS] StorageFlatten and StorageSync, safe condition in schedul_ops, gemm example. (#31)",4
"[PASS] UnrollLoop, isolate arithmetic module. (#32)",4
fix Stage.fuse (#33),0
[PASS] Canonical form simplify (#34),4
[ADDON] Allow piggy back nvcc compiler and code (#35),1
"[FUSION] add 'void AutoFuseEwise(Schedule sch)' (#36)* [FUSION] add Fusion(Schedule)* [FUSION] rename to AutoFuseEwise, detect whether the stage has been scheduled* [FUSION] change to visitor pattern* [FUSION] rename filename* [FUSION] fine-tune the interface* [FUSION] typo* move elem_wise to schedule* rename test function",1
[LANG/PASS] Support Vectorize (#37),4
"[PYTHON/API] Add compare and logic build-in op for Expr (#39)* [PYTHON/API] Add compare and logic build-in op for Expr* remove 'and', 'or'",1
[LANG/PASS] InjectVirtualThread (#38),4
[PASS] Change IRVisitor interfaces to function override (#42)* [PASS] Change IRVisitor interfaces to function override* [PASS] Change IRMutator interfaces to overloadable function,4
[SCHEDULE] Refactor bound inference logic (#41),2
"[LANG] Introduce Scan, Bugfix Canonical (#43)",0
"[SCHEDULE] Mutate dataflow in schedule, refactor Stage (#44)",5
"[ARITH] DeduceBound (#40)* [PYTHON/API] Add compare and logic build-in op for Expr* remove 'and', 'or'* add deducer* [WIP] bound_deducer.cc* move IntervalSet and StrideSet into int_set_internal.h* add multiple failure for VariablePathFinder, add EvalSign* consider round in deduce, add success flag* remove Visit_(Div)* add comment, update HalideIR* expose intset to python* check the sign of every expr* set return type as ExprSignType* fine tune* add min & max python api for interval set* support for conditional expr* refactor test* add checker for BoundDeducer* add python check test* fix* fix* change range to interval; remove converter* remove converter declaration* remove int_set_internal.h",0
"[SCAN/Refactor] Refactor scan interface, enable fix point analysis. (#47)",0
[ARITH] Add CombineInterval<Div> in IntSet (#48)* [FIX] add CombineInterval<Div>* fix error message and add comment about rounding* fix comment,0
[CODEGEN/LLVM] Initial support for codegen LLVM. (#49)* [LLVM] Initial support for codegen LLVM.* Fix the naming issue of codegen,0
[MODULE/REFACTOR] Introduce Module for AOT and runtime linking. (#51),5
[MODULE] Enable OpenCL and CUDA Modules (#53),5
[LLVM/RUNTIME] Support Parallel for on CPU (#54),5
[BUILD] Add CMake for Windows build (#55),1
[BUILD] Windows build pass on LLVM/CUDA/OPENCL (#57),4
"[VISITOR] New ExprFunctor, StmtFunctor Interface. Modular analysis (#58)* [ARITH/VISITOR] Modular Analysis, ExprFunctor, StmtFunctor* retrigger* [IRFunctor] Migrated CodegenC* [IRFUNCTOR] Migrate CodeGenLLVM* [IRFunctor] Migrate canonical* [IRFunctor] Migrate vectorize* [IRFunctor] migrate CodeGenStackVM",1
Fix Travis on test (#59),0
[LLVM] Vectorized load/store (#60),5
[TEST] Add dot (#61),1
"[PASS]LoopPartition (#56)* loop_partition draft* divide loop variable into constant domain and variable domain & consider multiple partitions* process doubt interval* fix and refactor, add relax_map arg in BoundDeduce* fix testcase and comment* rebase to zero, convert to SSA* change the logic of generating loop code & fix issues* add a testcase for relax map in deducebound && fix issues* clean code* const auto&* add test_multi_if",0
"[REFACTOR] Add Types to IterVar, Isolate Operator (#62)* [IterVar/REFACTOR] Add types to IterVar* [ARITH/REFACTOR] Move IntSet to include* [REFACTOR/OP] Move Op detail to seperate folder.* fix test",0
[BUGFIX/TESTS] Bugfix of Tenso slicing. Union. (#66),0
[PASS] RemoveNoOp. (#68),4
"[OP/LANG] Support Extern Call, more regression tests (#69)* [OP/LANG] Support Extern Call, more regression tests* [TEST] Include pylintrc",3
[VERILOG] Basic Verilog Testflow (#70)* [VERILOG] Basic Verilog Testflow* fix build* fix the comment* fix lint in verilog,0
"[RUNTIME] Make rutnime DLPack compatible, allow new device plugin (#71)* [RUNTIME] Refactor runtime to be DLPack compatible. Enable plugin of new runtime.* fix mac compile* ok",0
[VERILOG] VPI Mem Interface/ VPI MMap (#73)* [VERILOG] VPI Mem Interface/ VPI MMap* fix test issues,0
"[CODEGEN] Refactor common codegen, Verilog Codegen (#74)* [CODEGEN] Refactor common codegen, Verilog Codegen* fix make* fix mk* update enable signal* change function name to at neg edge* Move test to correct place",0
add docs (#75),1
Update contribute.md,1
[VERILOG] Generalize Buffer and Tests (#76)* adding tvm_buffer and fifo testbench* minor edits* line buffer test bench* adding double buffer tests for the tvm_buffer* making variable consistent with  python style,1
"[LANG/SCHEDULE] Reduction factor, predicate in reduction. (#77)",5
[LANG/GPU] Cross Thread Reduction (#79)* [LANG/GPU] Cross Thread Reduction.* Fix doxygen error* Upgrade verilog testcase to new one,0
[SCHEDULE] Fix the scan schedule with rewriting (#80),0
"[SCHEDULE] Add group, refactor thread bind api. (#82)* [SCHEDULE] Add group, refactor thread bind api.* fix doc* fix g++-4.8* More testscase* Remove graph context from fix pt analysis",0
[IR] Rename attr_key in AttrStmt (#83),5
[PASS] Support for partition loops with thread_axis (#81)* [PASS] Support for partition loops with thread_axis* Add check for AttrStmt.attr_key,1
[SCHEDULE] More reliable bound inference on threading. (#84),5
[SCHEDULE] Fix cross thread schedule after refactor (#85),0
[BUGFIX] Thread related bound (#86),0
[PERF] Persitent kernel (#87)* [PERF] Persitent kernel* fix doc,0
[DOC] Initial doc system (#88)* [DOC] Initial doc system* Migrate API* Update docs,1
"[DOC] Add setup.py, fix comments (#89)* Add setup.py, fix comments* Update installation document",0
[DOC] API doc organization. (#90)* [DOC] API doc organization.* remove breathe for now,2
[DOC] move comments to file header (#91),2
Update README.txt,1
[SCHEDULE] Normalize returns a new schedule (#94),1
[BUILD] add with_api_wrapper to lower (#95),1
[DOC] Add schedule_computaion (#92)* [DOC] Add schedule_computaion* Finetune the doc* Finetune the doc* Finetune the doc* Set max_unroll_step=0 by default,1
fix Makefile ifdef & typo (#97),0
[DOC/PERF] Reduction Tutorial and GEMM (#96)* [PERF] Add gemm* [DOC] Reduction tutorial,1
[DOC] Scan tutorial (#98)* [DOC] Scan tutorial* Fix according to ziheng's comment,0
[LANG] Change namespace convention to dot (#100),4
[LANG/CODEGEN] Intrinsics and Extern Math (#101)* [LANG/CODEGEN] Intrinsics and Extern Math* fix lint,0
[DEV/IR] Python IRBuilder (#102),5
Update contribute.md,1
"[PASS] StorageRewrite, Memory optimization pass as in NNVM. (#104)* [PASS] StorageRewrite, reuse memory pass as in NNVM.* fix issue",0
[PYTHON] Rename the namespace (#105),5
[LANG] CommReducer (#103)* [LANG] CommReducer* Reorganize c_api* Remove InitValue and Combine; refactor Functor* Make CommReducer an Expr* Make comm_reducer type independent* Make CommReducerNode a Node* Small fix* Refine* Refine front api; add integration testcases for min/max* Fix python* Refine* Fix lint and add example,0
[PYTHON/FFI] Enable Cython FFI (#106)* [PYTHON/FFI] Enable Cython FFI* fix cython,0
[PYTHON] addon->contrib add docs (#107),1
[DOC] Add intro to 'comm_reducer' in tutorial; fix doc (#108)* [DOC] Add intro to 'comm_reducer' in tutorial; fix doc* Fix* Fix,0
"[CODEGEN/PASS] Improve callpacked lowering, allow pass array callback. (#110)* [CODEGEN/PASS] Improve callpacked lowering, allow pass array callback.* fix cython",0
"[CODEGEN/RUNTIME] Metal support, runtime improvement. (#111)* [CODEGEN/RUNTIME] Metal support, runtime improvement.* Fix case when no device is available",0
[PYTHON] Enable cython ndarray API (#113),5
[METAL] Switch to manual ref counting (#114),5
Fix comment (#115),0
[IR] Update new version of HalideIR (#116),1
License as BSD for now before we finish approval for apache (#118),5
[DOC] Doc redirection (#119)* [DOC] Doc redirection* fix setup url,0
[CONTRIB/BLAS] Add CBLAS Example to contrib (#120)* [CONTRIB/BLAS] Add CBLAS Example to contrib* Update makefile,1
[RUNTIME/CUDA] Allow save exit when driver unload (#122),5
[CMAKE] Windows support upgrade (#125)* [CMAKE] Windows support upgrade* Fix lint,0
[BUGFIX] Fix schedule dataflow rewrite with multiple scan states (#126),0
"[BUGFIX/REGRESSION] Complex inline call, regression test on lstm cell (#128)",0
Require explicit version for llvm_config. Update doc build requirements. (#129),1
[FIX] Miss kUInt in TypeCode2Str & dir method (#130)* [FIX] Miss kUInt in TypeCode2Str & dir method* [FIX] Add regression test,0
[SCHEDULE] Add store_predicate (#131),1
[MODULE/DSO] Support pack everything into one shared library. (#133)* [MODULE/DSO] Support pack everything into one shared library.* fix osx load,0
"[DOC/LICENSE] Make doc and license consistent, opensource repo when we get approval (#134)",5
Update CONTRIBUTORS.md,1
[PASS] Use likely tag & enable LoopPartition by default (#132)* [PASS] Use likely tag & enable LoopPartition by default* [PASS] Support thread_axis partition* Take IfThenElse branch method* [PASS] Insert branch at the innermost thread scope* [PASS] Select candidates before trying to partition & add test for select* [PASS] Clean code* Fix* Remove print & assert vectorize happens,0
[BUGFIX/PASS] Fix Vectorize with If condition (#135),0
[PYTHON] Support DLTensor compatible API (#136)* [PYTHON] Support DLTensor compatible API* optimize for common path,5
[Tutorial] External Tensor Op (#137),5
[FIX] Add CombineInternal<Mod> & Fix LoopPartition (#138)* Add CombineInternal<Mod> & Fix LoopPartition* Add check for path,0
check attach_stage & group in schedule.copy() (#139),5
"[PASS] Improve SSA conversion, add forbid list in loop-par (#142)",1
fix doc examples & easy install (#143),0
Fix build status (#145),0
fix TVMRetValue move constructor not clear old value  (#144)* fix TVMRetValue move constructor not clear old value lead to repeat delete* fix,0
use auto source_group (#146),5
[RUNTIME] RPC runtime that support run testing on remote device. (#147)* [RUNTIME] RPC runtime that support run testing on remote device.* Fix ctypes in OSX.* fix lint,0
add tvm.select (#148),1
[DLPACK] Upgrade to the latest version (#150),3
[TESTS] Jenkins test flow (#152),2
Remove linux from travis (#156),4
"[DOCS] Jenkins deployment of docs, add FAQ (#157)",1
[CI] Force doc build pass to mark success (#158),4
[TEST/CI] 32bit compatibility and CI. (#159),3
[CODEGEN/RUNTIME] Cross Compile Test (#160),3
"[BUILD] Enable RTTI of most part of library, example extension pkg. (#161)",5
"[EXAMPLE/PYTHON] Improve extension type, add operator lib (#162)",1
[BUILD] Clean the HalideIR submodule during the make clean (#163),5
[CODEGEN] Change default max_auto_unroll from 256 to 32 (#164),4
Improve makefile (#165)* Improve makefile* Fix,0
[ARITH] More aggressive CSE during canonical simplify (#166),5
"[PASS] Refactor build config, allow implicit unroll pragma (#167)",4
[PERF/TIMER] Add builtin timing logic (#168)* [PERF/TIMER] Add buildin timing logic* fix lint,0
[BUILD/CODEGEN] Allow combine multiple functions in build stage. (#169)* [BUILD/CODEGEN] Allow combine multiple functions in build stage.* Enhance code module* fix compile,0
Change Schedule Array constructor to static make method (#170)* Change Schedule Array constructor to static make method* Add CreateSchedule* Add doc* Change CreateSchedule to create_schedule at cpp side,1
"[MODULE/RUNTIME] Remove Precompile, simplify module (#174)",4
"Support for Tuple Inputs of Reducer and ComputeOp (#175)* Support for batch ComputeOp* Support for batch ComputeOp* Fix CrossThreadReduction* Fix lint* Add UpdateArray, remove support for batch reduce* Tuple input support for reduce* rfactor works with multiple reducer; support multiple reducers with different types* Small fix* Small fix* Change return type of rfactor to Array<Expr>* Fix lint* Improve* Add tutorial* Improve tutorial* Improve tutorial",0
[TUTORIAL] Update tvm.make.Select to tvm.select (#177),1
[Compile] Fix compile issue with LLVM 8.0 (#181),0
[NNVM] Example NNVM integration. (#182),5
[MODULE] support load back of .ll file into llvm module (#183),2
[TUTORIAL] Cross Compilation and RPC (#184)* [TUTORIAL] Add tutorial for RPC* [TUTORIAL] Update tutorial* [TUTORIAL] Update tutorial* trigger update* [TUTORIAL] Improve build,1
[RUNTIME] Move device_api to include (#185)* [RUNTIME] Move device_api to include* fix doxygen* fix device api* fx,0
[CODEGEN] More storage alignment info aware generation (#186)* [CODEGEN] More storage alignment info aware generation* fix* fix* fix warning,0
"[LLVM] More optimized option, allow emit assembly (#187)",5
[IR] Include PrefetchIR (#189),5
[CODEGEN] Make codegen registerable (#193)* [CODEGEN] Make codegen registerable* fix llvm disbaled,0
[LANG] Expose tvm.cast (#195)* [LANG] Expose tvm.cast* Update* Add unittest,1
[LANG] Add all and any in the python API (#196)* [LANG] Add all and any in the python API* compatible with python3,1
[OP] Initial Stucture of Op Library (#198)* [OP] Initial start of op library* add gtest,1
Fix] Avoid Directly Pass Python Context Object (#201),0
[INTRINSIC] Add sqrt (#202)* [INTRINSIC] Add sqrt* [INTRINSIC] Expose on cpp,1
[CONTRIB/NNPACK] Add NNPack Fully Connected Functions (#199)* Add NNPack Fully Connected Inference* Add NNPack fully_connected_output* Fix lint* Fix,0
"[LANG/BUFFER] Change buffer arguments to match DLPack order, add scope (#203)",1
add 2D reduction into tutorials (#204),1
[FIX] Fix allocate size^2 in graph_executor (#207),0
[CODEGEN] Concise typecast for threadIdx (#208),5
"[BUFFER/REFACTOR] Buffer byte_offset-> elem_offset, add buffer_bind_scope (#209)",1
[REFACTOR] examples->apps (#210),5
Switch off global barrier detection by default (#211),5
[DOCS] fix doc builder (#213)* [DOCS] fix doc builder* fix* fix* fix doc builder,0
[REFACTOR/PASS] Formalize argument bind and match util (#214)* [REFACTOR/PASS] Formalize argument bind and match util* grammar,4
[APP] Improve GraphExecutor (#216)* Remove 'final' in GraphExecutor for extension* Dynamic num of inputs/outputs for tvm_op,4
"[PASS/OP/REFACTOR] IRDeepCompare, isolate computeop part, allow fuzzy bind (#218)",4
[TAG] Add tvm.tag module for tagging operator (#217)* [TAG] Add op_tag module for tagging operator* Fix accroading to comments* Add example* Add into doc* Add --fix-missing for docker,0
[IR] Add body to AssertStmt (#220)* [IR] Add body to AssertStmt* fix lint,0
"[CODEGEN/PASS] add restricted, alignment option (#221)* [CODEGEN/PASS] add restricted, alignment option* fix lint* Fix the alloca",0
"[C API] Make DSL API registerable, add copy from/to raw bytes (#222)* [C API] Make DSL API registerable, add copy from/to raw bytes* fix cython",0
[SCHEDULE] tensorize (#223),5
"[TOPI] Example for depthwise convolution (#197)* first commit* move to topi/recipe* refactor, almost rewrite* 2-D sum reduction; implement SAME pad; improve schedule* add util.py; separate test script* conv + bn + relu fusion* auto fusion* separate declare and schedule; using op tag* divide large image into blocks* move to topi; improve blocking schedule* restructure* add doc* using time_evaluator",1
[TOPI/TEST] Add Testcase folder for TOPI (#225),1
[DOC/TOPI] Add API doc for topi (#226)* [DOC/TOPI] Add API doc for topi* fix lint,0
Small fix of the Depthwise Convolution example in python3 (#224)* fix for python3fix for python3* Update depthwise_conv2d_map_test.pyremove sys.append,0
[RUNTIME] Add System Lib (#227)* [RUNTIME] Add System Lib* lint* lint* fix compile,0
[TAG] Fix signature of decorated function (#228)* [TAG] Fix signature of decorated function* Add dep,0
[RUNTIME] Add workspace pool (#229)* [RUNTIME] Add workspace pool* fix doc* fix the free list* avoid zero size,0
[TEST] Add scipy to test dep (#231),1
[TEST][TOPI] of depthwise_conv2d (#230)* test of depthwise_conv2d* fix nose test error* python3 fix,0
[RUNTIME][ABI] Flat structure arguments (#232),5
"[RUNTIME][ABI] Remove TVMValue as argument, use address (#236)",1
[PASS] Layout transform pass (#233)* [PASS] Layout transform pass* Fix according to comment* Fix,0
[CI] Add JVM Env (#237)* [CI] Add JVM Env* add update,1
Enable identity layout (#238),5
[JS][WEB][BACKEND] Javascript(webassembly) backend. (#239),5
[DOC] Fix c++ doc build (#240),0
[RUNTIME] Fix Metal runtime compile (#241),0
"[EXECUTOR] Save/Load Params (#242)* [EXECUTOR] Save/Load Params* [EXECUTOR] Improve Save/Load, fix Makefile* [EXECUTOR] Make save independent with executor",0
[RUNTIME][RPC] Change RPCServer to Event Driven Code (#243)* [RUNTIME][RPC] Change RPCServer to Event Driven Code* fix,0
"[REFACTOR] collections->container, RPC returns func, time_evaluator r… (#244)* [REFACTOR] collections->container, RPC returns func, time_evaluator returns struct* fix executor",0
[INTRIN] prefetch support (#246)* [INTRIN] prefetch support* lint* add buildin,1
Update index.rst,1
[DOC] Fix doxygen comments (#247),0
"[WIP][Frontend] Scala/Java package (#176)* JVM package skeleton* [JVM] link libtvm.so and list function names* [JVM] Function & NDArray skeleton* [JVM] TVMFuncCall in JNI* [JVM] handle string arg in TVMFuncCall* [JVM] get module function* [JVM] entry function for Module* [JVM] construct Module from function return value* [JVM] TVMContext, TVMArray attributes* [JVM] NDArray from / to java array* [JVM] load so and compute on cpu* [JVM] move PackedFunc to individual modules* [JVM] assembly package & native library loader* [JVM] unit test & codestyle check settings* [JVM] NDArray from & to different dtypes* [JVM] NDArray from native double array. Add linux-cpu profile.* [JVM] modify Makefile* [JVM] add linux-x86_64-gpu profile* [tvm4j] delay load libtvm_runtime.so* [tvm4j] refactor to pure java* [tvm4j] remove scalastyle-config.xml* [tvm4j] remove link HalideIR, remove Shape, remove scala binary versions* [tvm4j] only allow convert from/to same type array* [tvm4j] make NDArray api more readable* [tvm4j] refactor for c api* [tvm4j] add Jenkins tests* [tvm4j] fix duplicate Dockerfile cmd* [tvm4j] fix ut script filename* [tvm4j] add module load tests* [tvm4j] add javadoc, remove types package* [tvm4j] fix test script* [tvm4j] remove ut temp dir* [tvm4j] fix missing package types* [tvm4j] java code style check* [tvm4j] fix java lint* [tvm4j] downgrade checkstyle plugin for JDK7* [tvm4j] add stylecheck in jenkins tests* [tvm4j] specify source file encoding* [tvm4j] lazy init function; add Function.call() api; allow manully release Module,NDArray,Function* [tvm4j] fix ModFree* [tvm4j] cache Function in API",0
"[RENAME] nvcc_compiler->nvcc, cc_compiler->cc, metal_compiler->xcode (#248)",5
[DOC] Make range related function consistent (#249),5
[EXECUTOR] Enable load executor remotely (#245)* [EXECUTOR] Enable load executor remotely* [EXECUTOR] Pipeline* Pass bytearray directly* Enable load dynamic library in rpc_server.py* Fix* lint* Return Module from remote side directly* Remove unused header file* Fix* fix,0
[RPC] Allow back pressure from writer (#250)* [RPC] Allow backpressure from writer* fix* fix,0
[CODEGEN] Generate main compute function separately with alias info (#253),5
[EXECUTOR] Fix bug and improve (#252)* [EXECUTOR] Fix bug and improve* [EXECUTOR] Enhance test case,0
[PASS] Add storage alignment info to heap allocated data (#254),1
[PASS] CombineContextCall (#255),4
fix build in windows (#256),0
[RPC] Allow RPCServer to run without decorator (#257),5
"[API] Prefetch schedule supported (#258)* prefetch interface added* prefetch python comments modified. prefetch info data structure maintained.* start injecting prefetches. first step (domain touch) implemented.* domain touch tested.* Prefetch ir_mutator and ir_visitor dispatch registered.* modify domain touched from passing a func_ref to passing a tensor* modify domain touched from passing a func_ref to passing a tensor* modify Tensor copy to Tensor ref* temp commit for rebase* debug info removed, typo fixed, ready to rebase* prefetch flatten test add!* roll back builtin functions to side effect functions* lint error fixed!* add cache line size to storage flatten argument* forgot modifications add* change code style to dmlc-like; get rid of can_prove, use manually compute instead* python lint error fixed* modify instrinsic name to pass tests* [TEST] get rid of str(), replace them by accessing attributes* change map to list comprehension* redundant numpy import removed",0
[TOPI] Example for convolution in GPU (#212)* [TOPI] Example for convolution* update conv ex* fix submodule HalideIR* update conv impl* python3* minor fix* fix pylint error* Add test code* x* fix* fix* move python helper function into topi.testing* fix pylint,0
[EXECUTOR] Move tvm_op and Handler<DLTensor> to graph_executor.cc (#259),4
[RUNTIME] Enable injection of some core runtime functions to avoid dynamic lookup (#260),5
[RPC] IOS RPC (#261),5
[DOC] More detailed installation instruction (#262)* [DOC] More detailed installation instruction* fix lang,0
[FIX] Fix bug and typo in rpc_server (#263)* [FIX] Fix bug and typo in rpc_server* [FIX] Remove unnecessary condition,0
[SCHEDULE] Detect useless bound early (#264)* [SCHEDULE] Detect useless bound early* fix,0
[tvm4j] register user-defined function (#251)* [tvm4j] register user-defined function* [tvm4j] define java function (pushArgToStack) to convert arguments to C TVMValue* [tvm4j] make Module & Function extends TVMValue* [tvm4j] make registered cb function return Object* [tvm4j] add cb finalizer; add TVMValueBytes* [tvm4j] support NDArrayBase cb arg* [tvm4j] register cb function unit tests* [tvm4j] pass Function.Callback to resource_handle* [tvm4j] fix type cast,0
[LANG] Add reflection routine to construct node (#265),1
[STORAGE][BUFFER] Support access ptr for clear access pattern. (#266)* [STORAGE][BUFFER] Support access ptr for clear access pattern.* fix lint,0
[BUGFIX] Fix CanonicalSimplify change type of int constant (#269),0
[BUILD] Fix osx compilation (#271),0
[SCHEDULE] Remap the cached bind_scope. (#272)* [SCHEDULE] Remap the cached bind_scope.* more fix,0
[EXECUTOR] Improve LayoutTransform pass (#273)* [EXECUTOR] Improve LayoutTransform pass* Remove offline params for now* Small fix,0
[TUTORIAL] Optimize gemm on CPU add! (#270)* [TUTORIAL] Optimize gemm add!* temp commitment* [TUTORIAL] python3 compatiblity made; doc generation updated!* [DOCS] gen_modules clean and ignore add!* [TUTORIAL] title modified!* [TUTORIAL] some rolled-back modification re-write* [TUTORIAL] title underscore extended!* CONTRIBUTORS add me!,1
[EXECUTOR] PruneGraph pass (#274),4
[TUTORIAL] gemm tutorial image add! (#276)* image add!* image path move to web-data,1
[TEST] Fix java compilation (#279),0
gitignore tags (#277)Signed-off-by: Edward Z. Yang <ezyang@fb.com>,5
[EXECUTOR] Add GraphHandle (#285)* [GRAPH] Add GraphHandle* Move to apps/graph_executor,1
[BUILD] rename build.py to avoid conflict name of build (#284)* __init__ updated* pull request updated* build_module added* typo fixed* another typo fixed,0
Fix issue relating to serialization of reducer (#282),0
[DOC] Fix typos in tutorials (#287),0
"Build system and dynamic library fixes (#283)* Install rules and dynamic library loading fixes.A batch of fixes:- Added 'install' rule to cmake and make, which installs runtime  headers and library (libtvm_runtime).- Added 'installdev' rule to make, which also installs the compiler  infrastructure headers and library (libtvm)- Added 'INSTALL_DEV' option to cmake, for toggling installation  of compiler infrastructure headers and library- cmake no longer builds into lib/ directory; instead all build  products go in your build directory- New algorithm for dynamic library loading, as described in #281.Signed-off-by: Edward Z. Yang <ezyang@fb.com>* Emit dylib on OS XSigned-off-by: Edward Z. Yang <ezyang@fb.com>* Lint fixes.Signed-off-by: Edward Z. Yang <ezyang@fb.com>",0
"[SCHEDULE][REFACTOR] Default Fuse to outer inner, consistent to split (#289)* [SCHEDULE] Fix fuse node order* Make fuse order consistent with split",0
[PASS] Improve graph fusion (#286)* [PASS] Improve graph fusion* Change fusion center to segment head* Use 'master' to identity the schedule node* Make things compact* Fix,0
fix rpc server proxy connect (#290),0
[PASS] Simplify dependency of StorageRewrite (#291),4
[FIX] Fix doc_string of reducer (#292),0
Conda build recipe (#288)* Typofix.Signed-off-by: Edward Z. Yang <ezyang@fb.com>* Probe for nvrtc in lib directory as well.Signed-off-by: Edward Z. Yang <ezyang@fb.com>* Conda build recipe for TVM.Signed-off-by: Edward Z. Yang <ezyang@fb.com>,0
[ARITH] Refactor intset eval with functor (#295),5
[PASS] Refactor thread storage sync to a common visitor (#296)* [PASS] Refactor thread storage sync to a common visitor* Fix the sync scope check behavior,0
[PASS] Enhance LayoutTransform pass (#293)* [PASS] Enhance LayoutTransform pass* Fix* Fix Compilation* Refactor* Refactor* doc* fix* add file,0
[PASS] More storage sync. (#297),4
"[SCHEDULE][RUNIME] Introduce pragma for additional extension hint, threadpool runtime. (#299)",1
[EXECUTOR] Split graph_executor to header file and (runtime) source file (#300)* [EXECUTOR] Split graph_executor to header file and (runtime) source file* Fix,0
[NNPACK] Add nnpack.convolution (#301)* [NNPACK] Add nnpack.convolution* Add instrinsic* Fix lint,0
[RUNTIME][PASS] Allow declare vector type array (#302)* [RUNTIME][PASS] Allow declare vector type array* fix bcast* [BUFFER] Enable vload/store function in buffer* ok,0
