commit_msg,labels
Merge branch 'fhueske'Conflicts:nephele/nephele-common/pom.xmlpact/pact-common/src/main/java/eu/stratosphere/pact/common/io/OutputFormat.javapact/pact-tests/src/test/java/eu/stratosphere/pact/test/jobs/WordCount.javapact/pact-tests/src/test/java/eu/stratosphere/pact/test/jobs/WordCountMapReducePactMassiveTest.java,5
- Improved JavaDoc in pact-common,2
Fixes startup problem with bash 4.1 in cluster mode,0
Fixes package name of default instance manager in cluster mode,0
Fixes several broken javadoc references in the Nephele server module,2
Added JavaDoc for example TPCHQuery3.java,2
Updated JavaDoc for TPCH3 Query to new filter constraints,1
Fixes broken javadoc references in the Nephele management module,2
Reduces memory allocation of memory manager during Nephele end-to-end tests,3
- Added JavaDoc to pact-common contracts- Improve JavaDoc in pact-common,2
Adds support for hardware descriptions,1
Refactores instance type as a preparation for the new instance description interface,1
Adds method to query the available instance types to the management interface,1
Finishes implementation of instance hardware description,5
Removes deprecated assignment of file names for file channels,2
Removes Google collections from the build dependencies,4
Removes Google collections and modifies tests accordingly,3
Changed ByteBufferedManager to use more smaller buffers.,1
Fixes bugs in the cluster manager and improves unit tests,3
Adds new test classes and improves java doc,2
Changes behavior of local instance manager according to interface description and adds unit test,3
Added instance awareness in the compiler.,1
Merge branch 'warneke'Conflicts:nephele/nephele-common/src/main/java/eu/stratosphere/nephele/configuration/ConfigConstants.javanephele/nephele-server/src/main/java/eu/stratosphere/nephele/instance/local/LocalInstanceManager.java,5
Fixed WebLogAnalysis (including WebLogGenerator) example and added missing Javadoc tags.,2
Changed javadoc generation from compile to install phase,2
"Changed javadoc plugin execution phase to ""site""",2
Adds style checks according to code guidelines and fixes respective maven plugin configuration,5
Removed magic number and hidden field check from code style check,4
"added PowerMock,Mockito in pom.xml, new Tests",3
Fixed some bugs in nephele-common as reported by FindBugs,5
Fixed bugs as reported by FindBugs in nephele-management,5
Removed DesignedForExtension check from checkstyle template,4
Improved javadoc and style of nephele-management component,2
added some tests and the hamcrest dependancy,3
Compiler handles plans with multiple outputs.,0
renamed some tests and added missing plugin configrations,5
Improved javadoc and code style of nephele-management module,2
Fixed bug in equals method of SingleInstanceProfilingEvent,0
Fixed bug in equals method of ThreadProfilingEvent,0
Wrote unit tests for management module,3
- Added execution mode to bin/pact-start.sh,1
- Refactored test names in pact-common/../type/base,3
- Fixed JavaDocs in pact-common/../type/base/PactDouble.java,2
added failsafe plugin and hamcrest as dependancy to stratosphere/pom.xml,5
Fixed non deterministic behavior of management graph serialization,5
Fixed bug in management graph iterator implementation,0
Improved javadoc for management attachment,2
Added unit tests for the management graph and its components,3
- Adapted CrossTest.java and MatchTest.java to test for objects which are changed in the user code,1
- minor fix on debug statements in MapTest.java,3
Fixed minor flaw in source code format of Environment.java,0
Added several unit tests for the execution package,3
Improved javadoc and renamed name of test class,3
Added unit tests for event.task package in nephele-common module,3
Removed superfluous event list implementation and modified code that still used it,1
Added unit tests for event.job package in nephele-common module,3
Merge branch 'stratosphere'Conflicts:pom.xml,5
- Removed println statement in TestBase.java,3
- Added unit test for IntTupleDataInFormat.java- Added unit test for Tuple.java- Added JavaDocs to Tuple.java- Fixed bugs in Tuple.java,0
- Move time and memory intensive tests to integration tests in pact modules- Removed log level fixing from pact sort tests- Changed info logs to debug logs in pact-runtime tests- Removed invalid character from WebLogGenerator.java,2
Sorting operates directly on memory managers backing arrays.,1
Slight modification to sorting test to measure sort time.,3
current changes from dima repository,4
Completed commenst for memory manager and partly for sorting code.,5
Merge branch 'mem-manager'Conflicts:pact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/sort/TestBufferSortable.java,5
Merge branch 'dima'Conflicts:pom.xml,5
Removed attached test jar again to avoid build problems,0
Added files missing from last commit,2
Merge branch 'dima'Conflicts:pom.xml,5
Commented additional plugin repositories to speed up compile process,1
Removed working directory for queue manager's test configuration,5
Changed job client interface to throw an exception in case of a job error or abort,0
- Added clean up for WordCount integration test,3
Description of task errors are now propagated to the job client,0
Removed old code,4
Added comments to all public and protected functions,1
fixed the regexp in InstanceProfile; fixed #19,0
The local and the queue scheduler now checks resource availability before accepting a job,5
Fixed network channel problem for vertices with different channel types,0
Minor improvements in the local and the queue scheduler,1
Fixed bug in SerializableHashMap.java,0
Fixed getType method in PACT compiler,1
- Fixed triangle enumeration pact program EnumTriangles.java- Added JavaDocs to EnumTriangles.java- Fixed EnumTriangleITCase.java- Removed exclude for EnumTriangleITCase from pact-tests/pom.xml,5
Cleaned up execution graph unit tests,3
"RPC server now deserializes to actual type of a call parameter, no longer the type given in the signature",2
Checkpoints created by file channels are now deleted after successful job execution,4
Fixed start scripts in cluster mode,0
- Improved EnumTriangles example- Improved EnumTrianglesITCase,1
- Fixed All-2-All Shortest Path example PACT program- Added JavaDocs to All-2-All Shortest Path example PACT program- Fixed All2AllSPITCase- Removed exclude for All2AllSPITCase,4
more generic detection of tenured space + Mac OS support,1
added tests for nepehle.configurations,5
added test coverage for nephele.configuration,5
pom.xml merge needed manual fix,0
Minor test modifications and changes to the code style/java doc,2
Added first unit tests for Nephele client package,3
- Unified Pact example program parameter handling- Remove Triangle data set generator,1
- added packaging for All2All Shortest Path example program- cleaned up pact-examples/pom.xml,5
- fixed clean up after Pact graph example jobs,4
- fixed WebLogAnalysis Pact example program- improved JavaDoc in  WebLogAnalysis Pact example program- fixed WebLogAnalysis integration test- removed exclude for WebLogAnalysis integration test,3
Transformed JobManagerTest into an integration test,3
Fixed some bugs as reported by FindBugs in Nephele's server module,5
Fixed some bugs as reported by FindBugs in Nephele's visualization module,5
Merge branch 'hu' into unittests,3
Added unit test for ChannelCheckpoint,3
Added unit test for EphemeralCheckpoint class,3
Added TODO for IO and memory manager clean up,4
"changed TextInputFormat to use any String as delimiter, Testcase also created; Ticket #20",1
Merged unittests branch to master branch,3
Added unit tests for nephele.fs,3
Added unit test for direct channel manager,3
"- removed example job launchers, use pact-clients instead",1
- Renamed TestNepheleMiniCluster to NepheleMiniClusterITCase,5
Changed ChannelSelector interface to avoid memory allocation for every record sent,4
- Renamed class in NepheleMiniClusterITCase,5
- removed old SpillingResettableIteratorTest,3
- added lastReturned() method to ResettableIterator interface- adapted interface implementations,1
- renamed SpillingResettableIteratorTest2 to SpillingResettableIteratorTest- extended SpillingResettableIteratorTest,3
Minor changes to LocalFileSystemTest,5
Added unit tests for basic Nephele types,3
- Split up ResettableIterator interface- Fixed multi input bug for CrossTask,0
- Added SerializationCopier- Adapted CrossTask to use SerializationCopier,1
"- Fixed value multi input bug for MatchTask- Moved run() method from MatchStub to MatchTask and renamed to crossValues()- added ValueDeserializer- TODO: Fix MatchStubTest, clean up MatchTask, comment ValueDeserializer, create KeyDeserializer",1
removed changes.tgz,4
added tests for QueueScheduler classes,3
"Added json, sequential, and splitting input and output formatAdded Format utilitiesAdded PactJsonObject",5
Added test harness,3
Added jackson dependency,1
little changes for robustness,4
little changes for robustness,4
- Added JavaDoc to new classes,1
added proxy,1
added buffersortable with memory guarantees,1
- extended OutputCollector to send out deep-copies for marked RecordWriters- added Unit test for OutputCollector (must be extended)- Adapted task classes to specify which RecordReaders must be fed with deep-copies,3
Added negative tests for TestPlan,3
Fixed negative tests,3
deep clone performanc test added,1
...,5
...,5
Added junit dependency,3
Fixed maven poms,0
- moved run() methods from MapStub and ReduceStub to MapTask and ReduceTask- changed map() method in MapStub from private to public- adapted MapStub implementation in examples to change in MapStub- move iterator interfaces from pact-common to pact-runtime- adapted runtime classes to iterator refactoring- move stub tests from pact-common to pact-runtime,1
"FileChannel, FileLineReadWriter Tests and changed Test for QueueScheduler",3
Nephele now also starts without configuration in local mode,5
- Smaller modifications to the PACT examples,5
added one test InstanceProfiler,2
Merge branch 'dima'Conflicts:nephele/nephele-server/src/main/java/eu/stratosphere/nephele/services/memorymanager/spi/DefaultMemorySegment.javapact/pact-runtime/pom.xmlpom.xml,5
added html as cobertura output,1
fixed bug in InstanceProfilerTest,3
Tasks release memory segments - part 1,5
Merge branch 'fhueske'Conflicts:pact/pact-runtime/src/main/java/eu/stratosphere/pact/runtime/task/ReduceTask.java,5
"- added framework for standalone tests on tasks (TaskTestBase.java and MockEnvironment.java). Framework must be extended, e.g. IOManager & MemoryManager- added test draft for MapTask-",3
"Combine, Reduce, Match and CoGroup correctly deallocate their memory.",5
OuputEmitter reuses arrays.,1
Reverted changes to ChannelSelector interface,4
Fixed critical bug in QueueScheduler (ticket #55),0
Fixed possible NullPointerException during JobManager startup (ticket #56),0
Minor correction to log message,2
Changed path to visualization resources,4
Fixed profiling bug which led to NullPointerException in the visualization component (ticket #53),0
Fixed Bug in OutputEmitter,0
minor test change,4
added a test to reproduce the NegativeArraySizeException in ticket #62,3
added jvm params for surefire to execute pact-test/unit tests in a hudson environment,3
fixed typo,2
Add support for retrieving the physical memory size on FreeBSD,1
Only read the sysctl that is used on Mac OS X,1
- added TaskTests,3
- Added UnitTests and IntegrationTests for PACT Tasks,3
- follow-up on previous commit,5
- Removed output of tests or set it to debug level,0
- removed test tmp files,2
"- added framework for standalone tests on tasks (TaskTestBase.java and MockEnvironment.java). Framework must be extended, e.g. IOManager & MemoryManager- added test draft for MapTask-",3
- added TaskTests,3
- Added UnitTests and IntegrationTests for PACT Tasks,3
- follow-up on previous commit,5
- improved task tests,3
Merge branch 'stratosphere'Conflicts:pact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/CoGroupTaskExternalITCase.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/CoGroupTaskTest.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/CombineTaskExternalITCase.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/CombineTaskTest.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/CrossTaskExternalITCase.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/CrossTaskTest.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/MapTaskTest.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/MatchTaskExternalITCase.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/MatchTaskTest.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/ReduceTaskExternalITCase.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/ReduceTaskTest.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/TempTaskExternalITCase.javapact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/TempTaskTest.java,5
TPC-H Q9 initially created.,1
Add copyright statement,1
Add a note that the output's ordering is still missing.,1
Test coverage for direct channels and gates,3
flushing for direct channels,5
Add dummy test case for the TPC-H query 9. Doesn't work yet.,1
Copy & Paste error: This is TPC-H Q9,0
"Test configuration for TPC-H Q3,Q9 was missing",5
Moved compilation logic from pact program to client.,2
"Locking Bug fixed in MemoryManager, Match Hash Strategies currently not selected by optimizer, Client Test adapted to changes.",4
JobManager/TaskManager stdout/stderr now goes to a file (ticket #58),2
- fixed bug #65,0
- fixed bug #63,0
- temp files of minicluster are written to system's temp dir,5
Fixes Nephele freeze-up when exception occurs in registerInputOutput (ticket #60),0
- fixed bug #67- improved MatchTask by reducing the number of object instanciations in crossValues() method,1
Deactivated Integration Tests for hash-match strategies.,3
- fixed bug in OutputCollector- extended OutputCollectorTest,3
Fixed issues described in tickets #57 and #71,0
Missing file from last commit,2
Fixes bug #72,0
Memory manager can release memory allocated to a task (first part),5
- added finally-clause to release memory in crossValues() method,1
- set temp dir in NepheleMiniClusterITCase to system's tmp dir- removed println statements in NepheleMiniClusterITCase,5
- solved bug #50,0
"Memory Manager allows to deallocate memory by task (part 2), Enhancement of tests to check more thoroughly for memory leaks.",3
- fixed memory release bugs for Cross and Combine in case task failure because of stub exceptions,1
Added VertexAssignmentEvent and corresponding unit test,3
Fixed bug #42,0
Removed obsolete files,2
"Forgot to change references to TPCHQuery3 to TPCHQuery9, reducedparallelism until further problems are resolved.",0
Ignore pact-tests' tmp directory contents,3
Improved style and java doc,2
Fix TPCHQuery9 so that it is working.,1
Update copyright,5
Forgot to add the TPC-H Q9 output formatter,1
Fixed Integration Tests fort Sort-Modules,3
- NepheleMiniClusterITCase brings down Nephele and MiniDFS after test- Removed clearFS() method for security reasons- Removed deprecated numTaskTrackers argument from NepheleMiniCluster,5
- fixed PowerMock-Log4J issue in pact-runtime TaskTests,3
- removed enforced debug logger configuration,5
Changed IO Manager to more report exceptions back to the readers/writers and to do proper threadsafe shutdown.,4
Added files required by the Apache License,1
- removed obsolete files in stratosphere-distribution,2
Fixed IO Manager exception reporting (part 2),0
MemoryManager.release is now called after task has finished,5
IO manager and sort code bug fixed.,0
"Fixed #64, #73 and #75",0
Fixed #36,0
Removed obsolete dependencies from nephele-profiling,4
- Fixed copy-and-paste mistake in exception statement,0
- replaced constant value by already defined final static field in SpillingResettableIteratorTest,3
- fixed CrossTaskExternalITCase to actually go to disk,0
- fixed double close of SpillingResettableIterator in CrossTask- fixed unneccessary reset of SpillingResettableIterator in CrossTask,1
"Merge branch 'warneke' (Conflicts: pact/pact-compiler/src/main/java/eu/stratosphere/pact/compiler/PactCompiler.java)Fixed bug in IOManager, added extended test for IO manager.",3
SpillingResettableIterator deletes its file after operation.Added apache header to RequestQueue.,1
Integrated Sortable Buffers with space guarantees.,2
Introduced TaskManager specific construction of Java classpath,5
added TPCH Query 10,1
Fixed #59,0
Fixed #62,0
Visualization component now ignores the client's job and vertex events,5
Java heap size can now be additionally assigned through an environment variable,1
- fix #90- set jvm heap space fix to 512MB for pact-tests unit and integration tests- a separate JVM is forked for each test case in pact-tests integration tests,3
QueueSchedulerTest fixed,0
- set heap space for all tests (unit and integration tests) globally to 512MB,3
Modifications to DiscoveryService,5
removed exception printing in tests,3
"Worked on IO manager tests, fixed performance bug in match/co-group",0
TPCH Q10,5
TPCH Q10,5
TPCH Q 10,5
Inproved I/O Manager performance.,5
removed printStackTrace()n calls,4
changes in StringRecordTest,3
Fixed error in QueueSchedulerTest,3
KMeansIterationITCase: fixed problem with decimal representation,0
Merge branch 'ricos-changes',4
Fixed I/O manager implications on runtime.,1
Fixed bug in match it case.,0
DiscoveryService now works if JobManager and TaskManager are in different subnets,1
First step towards multicast channel implementation,5
- extended DefaultMemoryManagerTest,3
Exception consolidation in SortMerging components.,5
- set log config for PACT CLI client in pact-run.sh script,1
- PACT CLI client output goes to std-out,5
- fixed java heap size setting bug for local mode in nephele jobmanager script nephele-jobmanager.sh,0
Fixed potential source for deadlocks in case of task errors,0
Minor modification to generation of random filenames,2
- workaround fix for bug #96,0
- JobManager is shutdown if initialization of TaskManager fails in local execution mode- Improved logging of errors during TaskManager initialization,5
Fixed bug in equals method of IncomingConnectionID,0
Removed debugging output from DiscoveryService,0
OutgoingConnections are no longer closed immediately but after being idle for 3 sec.,5
Simplified state model of file buffer manager,2
"Renames TPCH Query 9 to be not match the integration name pattern, because it is broken.",1
Removed warnings,2
Merge branch 'marrus'Conflicts:nephele/nephele-queuescheduler/src/test/java/eu/stratosphere/nephele/jobmanager/scheduler/queue/QueueSchedulerTest.java,5
Improved behavior of NIO threads when connection is idle,1
- Added tests for handling of failing programs- Added TPCHQuery9ITCase to exclusions of pact/pact-tests/pom.xml,5
- follow up on last commit,5
Introduced cancel method to safely shut down user code,1
Changed spelling of execution states to American English,4
added segment cache / conditional materialization,1
Improved shut down behavior when task was canceled,1
- removed dependency of EnumTriangles example to pact-compiler- changed pact/pact-examples/pom.xml and remove maven dependency to pact-compiler- added maven dependency of pact-examples to pact-runtime with test scope,3
Changed job status names to correct American English spelling,4
- Added exclusions for failing unit tests in nephele-server- Added catch clause to LocalInstanceManagerTest to test whether the LocalInstanceManager was started correctly,3
Introduced extended job status modell to deal with task failures,0
Reformatting and removed obsolete includes,4
Introduced broadcast record writer,5
added test for TPCHQuery4 and modified the other IT cases to remove the test data in case of assertion failures,0
Added auxiliary class to create jar files,2
Added broadcast example job,1
Refactored input/output gates,4
Modified QueueSchedulerTest to match new state model,1
Introduced isBroadcastChannel method in AbstractOutputChannel,5
Added simple and sopremo packages,1
Finished implementation of optimized broadcast in output gate,5
finalized cache logic,2
beautified code,5
- added fine-grained logging- fixed caching bug,0
- fixed in-cache sort path bug (missed sentinel)- found potential memory leak,0
addes SortMerger.close() invocations to unit-test,3
unit-test -> more useful logging level,2
Refactored byte buffered channel manager,4
Added buffer provider,1
Refactored byte buffered channel manager,4
Merge branch 'warneke'Conflicts:nephele/nephele-server/src/main/java/eu/stratosphere/nephele/taskmanager/bytebuffered/OutgoingConnectionThread.javasolved by taking warneke's version.,5
Started implementation of multi-receiver transport layer,5
- added tests to MapTaskTest for task cancelling- added cancel handling to MapTask- added util classes for task cancel tests,3
- excluded failing unit test ClusterManagerTest in nephele/nephele-clustermanager/pom.xml,5
Added method to Client to submit jobs and wait.,1
Merge branch 'fhueske'Conflicts:pact/pact-examples/pom.xml,5
Work on Range partitioner,1
Added new histogram stub files,2
"Added clean shutdown to Reduce Task, Match Task and CoGroup task.",4
test commit.. experimental,3
Cleaned up Simple + Sompremo,4
Added simple files,2
Fixed PactNull Serialization.,0
- Added tests for ReduceTask canceling- Added cancel() method to all tasks,1
Fixed #94,0
Removed superfluous imports,2
Fixed problem with InterruptedException in direct channels when task is canceled,0
Removed invalid test for incorrectly canceled map task.,3
Fixed task abortion for jobs with more than one stage,0
Merge branch 'stratosphere'Resolved conflicts:pact/pact-clients/src/main/java/eu/stratosphere/pact/client/nephele/api/Client.javapact/pact-clients/src/main/java/eu/stratosphere/pact/client/nephele/api/PactProgram.java,5
"- added unit tests for correct cancel behavior of Map, Reduce, Cross, Match, CoGroup, and Combine tasks- fixed cancel behavior of Map, Reduce, Cross, Match, CoGroup, and Combine tasks",0
Merged Pair und KeyValuePair in pact-common (Ticke #4).Pair is not referenced anymore directly in the project and can be deleted later.,4
"- fixed canceling behavior of TempTask, DataSourceTask, and DataSinkTask",5
Fixed #99- Removed potential null pointer access- Don't show cause message for ErrorInPlanAssemblerException as it gets already included when EIPA exception is thrown.,1
Forgot unsaved changes in the last commit,4
Fixed #48 - Replaced used hadoop classes by compatible ones provided by nephele,1
initial multicast implementation,5
Continued multicast implementation,5
Implemented event processing in output channels,5
- added job manager host and port to default nephele-user.xml- added task manager port to default nephele-user.xml- fixes #103,0
Fixed issue #101,0
Merge branch 'fhueske'Conflicts:pact/pact-runtime/src/test/java/eu/stratosphere/pact/runtime/task/MapTaskTest.java,5
Fixed possible deadlock in OutgoingConnectionThread,0
Added logging output for different transfer envelope receivers,2
Fixed bug in regular expression used to parse network topology,2
Temporarily disabled spilling,5
Changed configuration of broadcast test job,3
Fixed bug in environment,0
Merge branch 'casp_exp' into experimentalConflicts:nephele/nephele-examples/src/main/java/eu/stratosphere/nephele/example/broadcast/BroadcastJob.java,5
Added logging output,2
Reduced size of broadcast buffer,5
Continued implementation towards broadcast channels,5
Fixed concurrent modification of hash map in OutgoingConnectionThread,0
Fixed bug concerning varying degrees of parallelism and local forwarding strategies.,0
Added Unit test for Bug concerning local forward strategy and changing degree of parallelism.,4
Fixed problem with concurrent incoming connections,0
Implemented log methods for buffer utilization,2
Added test case for PactNull datatype,5
Added missing interface implementation,1
Protected state model against asynchronous changes,4
"Merge with Warneke, excluded IO Manager Perfomance Tests from Integration tests",3
Fixed issue #111,0
- fixed double-closing-SpillingResettableIterator bug in MatchTask,0
- removed obsolete code from EnumTriangle example pact program,4
"- fixed bug #113, PACT integration tests produce failures if exceptions occur during compilation and execution",0
- fixed bug #112,0
- renamed RuntimeExceptionFailureITCase to TaskFailureITCase,0
fixed multicast tree implementation,0
manual merge for SpillingResettableIteratorTest,3
- fixed ticket #116,0
Removed old code,4
- fixed canceling behavior of DataSinkTask and DataSourceTask,5
Removed GPL files from tree,2
Fixed #102,0
"1) Memory assignement from compiler and job-graph generator is a single value, which is split into I/O and sort memory by the tasks and the sortcomponents individually.2) All sort and spilling/resettable components use the new memory allocation method, which can return multiple smaller buffers in the presence of fragmentation.3) Memory access speed test is no longer an integration test.4) Configuration supports long numbers.5) Hash strategies are removed from the repository for the time being, as they are not used.",1
Suppressed type warnings in Environment.java,2
Changed file split API to better integrate lazy assignment in the future,1
Merge branch 'stratosphere'Conflicts:pact/pact-runtime/src/main/java/eu/stratosphere/pact/runtime/task/DataSourceTask.java,5
Adopted Tests for resettable iterators to new memory requirements.,1
Style improvements for file channel tests,3
Added unit test for #115,3
Adapted code in combining unilateral sort-merger and associated test case.,3
- Added NepheleReaderIterator to wrap Nephele Readers by an Iterator,1
- Added missing licence headers to source files in pact/pact-runtime,1
- added missing licence headers to source files in pact/pact-tests,3
- added missing licence header to files in pact/pact-compiler,2
- commented out incomplete tests from ContextCheckerTest,3
TPCH Q 9 again,5
Fixed #119,0
Added unit test for job with two connections between tasks,3
"Fixed bug in PactConnection, Reengineered BlockResettableIterator for correct shutdown.",1
Fixed double connection bug,0
- performance fix in CrossTask- removed ContextCheckerTest,3
"- added local sort-merge strategies SORT_BOTH_MERGE, SORT_FIRST_MERGE, SORT_SECOND_MERGE, MERGE to reuse existing orders in Match and CoGroup- adapted PactCompiler to set new sort-merge strategies- extended cost estimators for new sort-merge strategies- extended JSONGenerator and JobGraphGenerator for new sort-merge strategies- adapted MatchTask and SortMergeMatchTaskIterator to support new sort-merge strategies- extended SortMergeMatchIteratorITCase to test new sort-merge strategies- adapted CoGroupTask and SortMergeCoGroupTaskIterator to support new sort-merge strategies- added CoGroupTaskExternalITCase- renamed method in Pact compiler",1
added TPCH Q9 again,1
Merge branch 'sewen'Conflicts:pact/pact-compiler/src/main/java/eu/stratosphere/pact/compiler/plan/PactConnection.javapact/pact-runtime/src/main/java/eu/stratosphere/pact/runtime/task/MatchTask.java,5
- extended TempTask rules for LocalStrategies SORT_FIRST_MERGE and SORT_SECOND_MERGE- added inline documentation for LocalStrategies,2
Finished implementation of buffer utilization log,2
Fixed #109,0
Added basic throtteling mechanism,1
Improved style and performance of queue scheduler,1
Fixed #105,0
Fixed problem with forwarding strategy and changing number of used instances.Cross selects non-blocked strategies only in the presence of estimates.,1
Removed final modifier from QueueScheduler class,4
Fixed #115,0
Removed obsolete code,4
Minor format changes,4
Modified unit test after having removed dead code,4
"- edited Nephele visualizer color scheme: Finishing tasks changed from orange to light blue, Canceled tasks changed from red to orange.",4
- fixed NullPointerException in cancel behavior of SpillingResettableIterator,1
- fixed NullPointerException bug in shutdown of TempTask,0
"- TempTask handling in compiler: correct placement, consideration of Nephele's network spilling, memory allocation- Compiler's memory assignment sensitive for number of memory consumers of local strategy",1
Added memory allocation strategy that works in pace of fragmentation across multiple chunks.,1
"- extended compiler hints are used for Reduce, Match, and CoGroup",1
"- extended compiler hints for local strategies SORT_BOTH_MERGE, SORT_FIRST_MERGE; SORT_SECOND_MERGE, MERGE, and COMBININGSORT- improved deadlock resolving: temp placement and data source duplication",5
- adapted compiler hints in CoGroup and Match integration tests,3
- fixed exception message,0
- fixed comments in MapTask and ReduceTask,0
Fixed possible deadlock in OutgoingConnectionThread (possible fix for #95),0
- improved task cancel behavior,1
- extended PACT task unit tests,3
- added SelfMatchTask- added unit test for SelfMatchTest,3
Fixed position integer overflow bug in Memory Segments and their Views.Channel Readers and Writers tollerate asynchronously released memory segments.,0
"- added local strategies for self match: SORT_SELF_NESTEDLOOPS, SELF_NESTEDLOOPS- extended JSONGenerator to handle new local strategies- extended JobGraphGenerator to handle new local strategies",1
Fixed #95,0
Added missing file,2
- applied new local strategies to SelfMatchTask,1
- fixed bug in JobGraphGenerator,0
- added new local strategies to compiler hints,1
- added cost estimations for new local strategies SORT_SELF_NESTEDLOOP and SELF_NESTEDLOOP,1
- adapted plan enumeration for new local strategies SORT_SELF_NESTEDLOOP and SELF_NESTEDLOOP for self match tasks,1
- improved cancel behavior of DataSourceTask and DataSinkTask: files are now closed in case of task canceling,2
- fixed bug in InputFormat- revisited DataSourceTask cancel code,5
Fixed #134,0
- added DataSourceTaskTest and DataSinkTaskTest- adapted task test utils for DataSourceTaskTest and DataSinkTaskTest- renamed configs of DataSourceTask and DataSinkTask,5
- removed unused imports in DataSourceTaskTest and DataSinkTaskTest,5
Fixed illegal monitor state exception,0
Fixed #131,0
- fixed bug in SelfMatchTaskTest- improved SelfMatchTask with value buffer,1
Removed final modifier from FileBufferManager class,2
Fixed #132,0
- fixed bug in SpillingResettableIterator hasNext() method- added constructor for SpillingResettableIterator to support Iterator as well,1
- improved SelfMatchTask- adapted SelfMatchTaskTest,3
- replaced Reduce Pact in EnumTriangles with Match,5
Fixed internal state of FileBufferManagerEntry,2
Increased idle time until TCP connection is closed to 10 sec.,1
- reduced classpath of PACT webfrontend in start script,5
- refined classpath in PACT CLI client script (pact-run.sh),1
Sorter closing is synchronized.,5
- improved SelfMatchTask,1
- fixed bug in SortMergeMatchIterator: calling hasNext() twice without next() caused lost tuples,1
- added buffer to MatchTask for n-n matches,1
- improved MatchTask with BlockResettableIterator crossing instead of streaming,1
Removed API for direct access to input channels,4
Fixed #38,0
Fixed #95,0
Merge branch 'stratosphere'Conflicts:pact/pact-runtime/src/main/java/eu/stratosphere/pact/runtime/task/MatchTask.java,5
Fixed merge conflicts,5
Bug fix in Compiler.,0
Improved style and javadoc,2
Fixed #85,0
